Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
Acadia NP,ACAD1,IMPAER,US,ME,23009,230090103,44.3771,-68.261,157,03/02/1988,02/27/2020,NA,Unknown,NA,Park Headquarters,NPS,IMPROVE,1
Addison Pinnacle,ADPI1,IMPAER,US,NY,36101,361019000,42.0912,-77.2099,512,04/04/2001,06/28/2010,NA,Unknown,NA,NA,STATE,IMPROVE,1
Agua Tibia,AGTI1,IMPAER,US,CA,06065,060659000,33.4636,-116.9706,507,12/20/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Ambler,AMBL1,IMPAER,US,AK,02188,021889000,67.09934,-157.8628,77,09/03/2003,11/29/2004,NA,NA,NA,NA,NPS,IMPROVE,1
Arches NP,ARCH1,IMPAER,US,UT,49019,490190101,38.7833,-109.5833,1722,03/02/1988,12/29/1999,NA,Unknown,NA,Devils Garden Campground,NA,IMPROVE,1
Arendtsville,AREN1,IMPAER,US,PA,42001,420019000,39.9232,-77.3079,267,04/04/2001,12/31/2010,NA,Unknown,NA,NA,EPA,IMPROVE,1
Badlands NP,BADL1,IMPAER,US,SD,46071,460710001,43.7435,-101.9412,736,03/02/1988,02/27/2020,NA,Unknown,NA,Park Headquarters,NPS,IMPROVE,1
Baengnyeong Island,BYIS1,IMPAER,KR,NA,NA,NA,37.9659,124.6308,100,03/20/2013,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,2
Baengnyeong Island Co-located A Module,BYISX,IMPAER,KR,NA,NA,NA,37.9659,124.6308,100,04/23/2014,07/29/2015,NA,NA,NA,NA,NA,IMPROVE,1
Baltimore,BALT1,IMPAER,US,MD,24005,240059000,39.2547,-76.7093,78,06/02/2004,12/31/2006,NA,NA,NA,NA,SPECIAL,IMPROVE,1
Bandelier NM,BAND1,IMPAER,US,NM,35028,350281002,35.7797,-106.2664,1988,03/02/1988,02/27/2020,NA,Unknown,NA,Fire Tower near VC,NPS,IMPROVE,1
Barrier Lake,BALA1,IMPAER,CA,AB,NA,NA,51.029,-115.0336,1391,01/15/2011,03/29/2017,NA,NA,NA,NA,Environment Canada,IMPROVE,1
Big Bend NP,BIBE1,IMPAER,US,TX,48043,480430101,29.3027,-103.178,1066,03/02/1988,02/27/2020,NA,Unknown,NA,"3 miles SE of Panther Junction, at water well",NPS,IMPROVE,2
Bliss SP (TRPA),BLIS1,IMPAER,US,CA,06017,060179000,38.9761,-120.1025,2130,09/01/1990,02/27/2020,NA,Unknown,NA,"Above SW shore of Lake Tahoe, CA,1/4 mile beyond headquarters on the service road",USFS,IMPROVE,1
Blue Mounds,BLMO1,IMPAER,US,MN,27133,271339000,43.7158,-96.1913,473,06/01/2002,12/29/2015,NA,Unknown,NA,NA,STATE,IMPROVE,2
Bondville,BOND1,IMPAER,US,IL,17019,170191001,40.052,-88.3733,263,03/08/2001,02/27/2020,NA,Unknown,NA,NA,EPA,IMPROVE,1
Bosque del Apache,BOAP1,IMPAER,US,NM,35053,350539000,33.8695,-106.852,1389,04/15/2000,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,1
Boulder Lake,BOLA1,IMPAER,US,WY,56035,NA,42.84648,-109.63973,2296,08/26/2009,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Boundary Waters Canoe Area,BOWA1,IMPAER,US,MN,27075,270759000,47.9466,-91.4955,526,06/01/1991,02/27/2020,NA,Unknown,NA,"NADP Site, 20 mi ENE of  Ely, MN",USFS,IMPROVE,1
Breton,BRET1,IMPAER,US,LA,22075,220759000,29.1189,-89.2066,11,08/16/2000,08/29/2005,NA,Unknown,NA,NA,FWS,IMPROVE,1
Breton Island,BRIS1,IMPAER,US,LA,22075,220759000,30.10863,-89.76168,-7,01/16/2008,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,2
Bridger Wilderness,BRID1,IMPAER,US,WY,56035,560359000,42.9749,-109.7579,2626,03/02/1988,02/27/2020,NA,Unknown,NA,"White Pine ski area 10 miles E of Pinedale, WY, near Fremont Lake",USFS,IMPROVE,1
Bridgton,BRMA1,IMPAER,US,ME,23005,230050103,44.1074,-70.7292,233,03/14/2001,12/29/2015,NA,Unknown,NA,"Bridgton, ME",STATE,IMPROVE,1
Brigantine NWR,BRIG1,IMPAER,US,NJ,34001,340019000,39.465,-74.4492,5,09/04/1991,02/27/2020,NA,Unknown,NA,"Edwin D. Forsythe NWR Headquarters, Oceanville, NJ",FWS,IMPROVE,1
Brooklyn Lake,BRLA1,IMPAER,US,WY,56001,560019000,41.3662,-106.2418,3196,07/31/1993,01/31/2004,NA,Unknown,NA,"Snowy Range, 15 miles NW of Centennial, WY, at Brooklyn Lake",NA,IMPROVE,1
Bryce Canyon NP,BRCA1,IMPAER,US,UT,49017,490170101,37.6184,-112.1736,2481,03/02/1988,02/27/2020,NA,Unknown,NA,"2.5 miles S of VC at water tanks, near Sunset Point",NPS,IMPROVE,1
Cabinet Mountains,CABI1,IMPAER,US,MT,30089,300899000,47.9549,-115.6709,1441,07/26/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Cadiz,CADI1,IMPAER,US,KY,21221,212219000,36.7842,-87.8501,191,03/08/2001,12/31/2010,NA,Unknown,NA,NA,EPA,IMPROVE,1
Caney Creek,CACR1,IMPAER,US,AR,05113,051130003,34.4544,-94.1429,683,06/24/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Canyonlands NP,CANY1,IMPAER,US,UT,49037,490379000,38.4587,-109.821,1798,03/02/1988,02/27/2020,NA,Unknown,NA,Island in the Sky VC,NPS,IMPROVE,1
Cape Cod,CACO1,IMPAER,US,MA,25001,250010002,41.9758,-70.0242,49,04/04/2001,02/27/2020,NA,Unknown,NA,NA,STATE,IMPROVE,1
Cape Romain NWR,ROMA1,IMPAER,US,SC,45019,450190046,32.941,-79.6572,4,09/03/1994,02/27/2020,NA,Unknown,NA,"Moores Landing, Cape Romain NWR, SC , Refuge maintenance area",FWS,IMPROVE,1
Capitol Reef NP,CAPI1,IMPAER,US,UT,49055,490559000,38.3022,-111.2926,1896,04/19/2000,02/27/2020,NA,Unknown,NA,NA,NPS,IMPROVE,1
Carlsbad Caverns,CAVE1,IMPAER,US,NM,35015,NA,32.1783,-104.44376,1355,07/30/2017,02/27/2020,NA,NA,NA,NA,NPS,IMPROVE,1
Casco Bay,CABA1,IMPAER,US,ME,23005,230059002,43.8325,-70.0644,26,03/14/2001,02/27/2020,NA,Unknown,NA,NA,STATE,IMPROVE,1
Cedar Bluff,CEBL1,IMPAER,US,KS,20195,201950001,38.7701,-99.7634,665,06/01/2002,02/27/2020,NA,Unknown,NA,NA,STATE,IMPROVE,1
Chassahowitzka NWR,CHAS1,IMPAER,US,FL,12017,120179000,28.7484,-82.5549,4,03/03/1993,02/27/2020,NA,Unknown,NA,"Maintenance Facility, 4 mi S of Homossassa Springs, FL, 1/4 mile West of the Chassahowitzka NWR Maintenance Facility",FWS,IMPROVE,1
Cherokee Nation,CHER1,IMPAER,US,OK,40071,400719010,36.9562,-97.0313,342,09/02/2002,04/20/2010,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Chicago,CHIC1,IMPAER,US,IL,17031,170310076,41.7514,-87.7135,194,09/03/2003,08/29/2005,NA,NA,NA,NA,STN,IMPROVE,1
Chiricahua NM,CHIR1,IMPAER,US,AZ,04003,040038001,32.0094,-109.389,1554,03/02/1988,02/27/2020,NA,Unknown,NA,Entrance Station,NPS,IMPROVE,1
Cloud Peak,CLPE1,IMPAER,US,WY,56019,560199000,44.3335,-106.9565,2470,06/01/2002,07/29/2015,NA,Unknown,NA,NA,STATE,IMPROVE,1
Cohutta,COHU1,IMPAER,US,GA,13213,132139000,34.7852,-84.6265,735,06/03/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Columbia Gorge #1,COGO1,IMPAER,US,WA,53039,530390010,45.56926,-122.21029,230,09/18/1996,10/30/2011,NA,Unknown,NA,NA,USFS,IMPROVE,1
